# time(s),x(m),y(m),vx(m/s),vy(m/s),phi(rad),delta(rad),omega(rad/s),ax(m/s^2),deltadelta(rad/s),wheel_fl(kmph),wheel_fr(kmph),wheel_rl(kmph),wheel_rr(kmph),roll(rad),throttle_ped_cmd(%),brake_ped_cmd(kPa)
1692110152.45343590,71.48979326,-129.35617559,9.59424854,0.09475812,-3.06555738,-0.00406836,-0.01907410,0.90478546,0.00000000,35.17026311,34.98017477,34.79999924,34.70000076,-0.70687840,10.50326633,0.00000000
1692110152.49343586,71.10079696,-129.38586183,9.60604820,0.06389101,-3.06631223,-0.00406836,-0.01899205,0.89002455,0.00000000,35.00000000,35.20000076,34.81018686,34.79999924,-0.74663131,10.42971075,0.00000000
1692110152.53343582,70.74958783,-129.41204990,9.57960256,0.06990848,-3.06705724,-0.00406836,-0.01890429,0.87915856,-0.01452987,35.40000153,35.20000076,35.00000000,34.92030859,-0.78843346,10.41268464,0.00000000
1692110152.57343578,70.34707305,-129.44156419,9.61946756,0.08441538,-3.06801617,-0.00464956,-0.01939124,0.86943724,0.00000000,35.00000000,34.75078639,35.00000000,34.92031547,-0.78586153,10.40588584,0.00000000
1692110152.61343575,69.96588333,-129.46922936,9.58626296,0.09719288,-3.06907174,-0.00464956,-0.02011066,0.85900703,0.01411039,35.29999924,35.20000076,35.08981144,34.79999924,-0.78490108,10.35784330,0.00000000
1692110152.65343571,69.57402260,-129.49746109,9.60185113,0.10573272,-3.07000900,-0.00408514,-0.02042728,0.84530320,-0.01411039,34.90000153,34.98986162,34.95944571,34.92027829,-0.71928650,10.27075640,0.00000000
1692110152.69343567,69.18363125,-129.52540216,9.60049708,0.08395765,-3.07083380,-0.00464956,-0.02045550,0.82962785,0.00046508,35.13058915,35.20000076,34.90000153,35.00000000,-0.72668871,10.19914578,0.00000000
1692110152.73343563,68.80934220,-129.55283641,9.59951577,0.08603345,-3.07165035,-0.00463095,-0.02047673,0.81387728,0.01375515,35.29999924,35.20000076,34.91023005,34.81022815,-0.74054987,10.15013453,0.00000000
1692110152.77343559,68.41857030,-129.58006120,9.59814398,0.08945862,-3.07250838,-0.00408075,-0.02060009,0.80082144,0.00030964,35.09999847,34.85100432,35.00000000,34.82040135,-0.72930818,10.11099298,0.00000000
1692110152.81343555,68.04118446,-129.60624163,9.59057307,0.11188883,-3.07198984,-0.00406836,-0.01752250,0.78868289,0.00000000,35.28980008,35.29999924,34.88980198,35.00000000,-0.68872250,10.08523041,0.00000000
1692110152.85343552,67.65331770,-129.63364111,9.61012296,0.08704123,-3.07271915,-0.00406836,-0.01765189,0.77358726,0.01115321,34.90000153,34.90000153,34.81939345,34.89030424,-0.68344761,10.04299916,0.00000000
1692110152.89343548,67.26451787,-129.66063073,9.56514178,0.09636644,-3.07346303,-0.00362223,-0.01779508,0.76104621,0.01790652,35.32934198,35.20000076,34.96467023,34.79999924,-0.68719455,9.98813961,0.00000000
1692110152.93343544,66.88930724,-129.68658188,9.59842592,0.09190238,-3.07421024,-0.00290597,-0.01792511,0.74905959,-0.01452987,35.34906312,35.20000076,35.07962342,34.90000153,-0.67394578,9.93435356,0.00000000
1692110152.97343540,66.50456770,-129.71295519,9.59964603,0.10641405,-3.07495054,-0.00348717,-0.01801130,0.73580302,0.00002625,35.00000000,35.20000076,34.90000153,34.90000153,-0.64349553,9.89638383,0.00000000
1692110153.01343536,66.11563115,-129.73891483,9.56648305,0.11069313,-3.07568918,-0.00348612,-0.01806251,0.72311365,0.02903348,35.29003948,35.18008086,34.90000153,35.00000000,-0.60185313,9.85752153,0.00000000
1692110153.05343533,65.83209141,-129.75964962,9.57194340,0.08294377,-3.07631206,-0.00232478,-0.01787712,0.69454875,0.00000000,34.80957866,34.90000153,33.75747583,34.06168188,-0.65158228,9.79948855,0.00000000
1692110153.09343529,65.43560588,-129.78567332,9.50742859,0.08512562,-3.07699773,-0.00232478,-0.01780658,0.66691363,0.00000000,35.20000076,35.00000000,34.90000153,34.61600342,-0.65017115,9.74419683,0.00000000
1692110153.13343525,65.03404290,-129.81120556,9.47593190,0.09908672,-3.07717654,-0.00232478,-0.01677969,0.67199163,0.00000000,34.97524667,34.86905998,35.65049433,35.59999847,-0.65637222,9.71554716,0.00000000
1692110153.17343521,64.63072751,-129.83785410,9.49128073,0.10660731,-3.07776655,-0.00232478,-0.01658736,0.66529585,0.00000000,34.59999847,34.90000153,34.57962427,34.25093706,-0.64057753,9.78621506,0.00000000
1692110153.21343517,64.24762963,-129.86268742,9.49155091,0.10451872,-3.07823653,-0.00232478,-0.01609452,0.64459502,0.01410421,34.79999924,34.77991232,34.40000153,34.41004479,-0.60986710,9.76724514,0.00000000
1692110153.25343513,63.86027539,-129.88760126,9.47063615,0.09993666,-3.07793824,-0.00176061,-0.01359177,0.62515199,0.00042566,34.42027774,34.53041470,34.42027774,34.50000000,-0.59568224,9.60799981,0.00000000
1692110153.29343510,63.47382109,-129.91236552,9.46760351,0.10477784,-3.07808006,-0.00174358,-0.01258989,0.61121475,0.00000000,35.00000000,34.79999924,34.51012700,34.51012700,-0.59214428,9.52291331,0.00000000
1692110153.33343506,63.09902968,-129.93694295,9.49424133,0.09035628,-3.07856592,-0.00174358,-0.01253153,0.59894120,0.00000000,34.50000000,34.74916370,34.50000000,34.58983152,-0.57625590,9.57248245,0.00000000
1692110153.37343502,62.71092577,-129.96108141,9.45064578,0.10635669,-3.07878026,-0.00174358,-0.01178104,0.58449806,0.00000000,34.63052156,34.79999924,34.43052423,34.50000000,-0.63670323,9.57576792,0.00000000
1692110153.41343498,62.33501143,-129.98433620,9.47130138,0.10470117,-3.08004022,-0.00174358,-0.01389814,0.57420111,0.00000000,34.70000076,34.59999847,34.40000153,34.66327862,-0.60312021,9.52782945,0.00000000
1692110153.45343494,61.95402992,-130.00798765,9.45038629,0.08944781,-3.08058383,-0.00174358,-0.01384331,0.54298774,0.01452987,34.41016080,34.52031895,33.40000153,33.27111688,-0.63343625,9.47919598,0.00000000
1692110153.49343491,61.57408052,-130.03119321,9.35961338,0.12120981,-3.08112376,-0.00116239,-0.01378441,0.51802527,0.02856583,34.79999924,34.59999847,34.26079658,34.50000000,-0.61057807,9.44003801,0.00000000
1692110153.53343487,61.22932953,-130.05306792,9.38623154,0.11079231,-3.08162970,-0.00001976,-0.01364433,0.52478891,0.00049390,34.09999847,34.45047243,34.79999924,35.09009311,-0.59321168,9.42453206,0.00000000
1692110153.57343483,60.83717922,-130.07657083,9.35784081,0.11630134,-3.08093829,0.00000000,-0.01064216,0.51581817,-0.00032152,34.23043723,34.50000000,34.40000153,33.84058145,-0.64539620,9.49954892,0.00000000
1692110153.61343479,60.46165512,-130.09878277,9.37666209,0.11823693,-3.08194670,-0.00001286,-0.01208790,0.49922837,0.00032152,34.29999924,34.20000076,34.16951628,34.09999847,-0.61581182,9.48954442,0.00000000
1692110153.65343475,60.08777141,-130.12217555,9.35834309,0.11399940,-3.08239535,0.00000000,-0.01196379,0.48198844,0.00000000,34.09999847,34.12970815,34.00990297,34.09999847,-0.64730514,9.32624583,0.00000000
