# time(s),x(m),y(m),vx(m/s),vy(m/s),phi(rad),delta(rad),omega(rad/s),ax(m/s^2),deltadelta(rad/s),wheel_fl(kmph),wheel_fr(kmph),wheel_rl(kmph),wheel_rr(kmph),roll(rad),throttle_ped_cmd(%),brake_ped_cmd(kPa),gear
1672853399.72563434,-81.92241888,234.90683068,0.00035031,-0.00229291,-2.76833746,-0.00095120,0.00029593,-0.00001494,0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000002,0.00000000,1200.00073242,1.00000000
1672853399.76563430,-81.92303952,234.90661106,0.00037914,-0.00223411,-2.76830930,-0.00047560,0.00029918,-0.00000327,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000003,0.00000000,1200.00073242,1.00000000
1672853399.80563426,-81.92313137,234.90644785,0.00037843,-0.00204367,-2.76829142,-0.00047560,0.00030424,-0.00000386,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000006,0.00000000,1200.00073242,1.00000000
1672853399.84563422,-81.92320460,234.90635484,0.00037492,-0.00192314,-2.76827336,-0.00047560,0.00031065,-0.00000559,-0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000008,0.00000000,1200.00073242,1.00000000
1672853399.88563418,-81.92369592,234.90631721,0.00038581,-0.00200421,-2.76824739,-0.00095120,0.00031746,-0.00000144,0.00244995,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000005,0.00000000,1200.00073242,1.00000000
1672853399.92563415,-81.92301721,234.90524285,0.00036578,-0.00068687,-2.76823631,-0.00085321,0.00032380,-0.00000975,-0.00010342,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000024,0.00000000,1200.00073242,1.00000000
1672853399.96563411,-81.92263413,234.90531090,0.00034413,-0.00059241,-2.76822528,-0.00085734,0.00032877,-0.00001825,-0.00234653,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000019,0.00000000,1200.00073242,1.00000000
1672853400.00563407,-81.92267153,234.90532350,0.00034579,-0.00059899,-2.76821033,-0.00095120,0.00033157,-0.00001701,-0.00953370,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000011,0.00000000,1200.00073242,1.00000000
1672853400.04563403,-81.92101242,234.90551412,0.00028078,-0.00015700,-2.76820786,-0.00133255,0.00033284,-0.00004283,0.00953370,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000017,0.00000000,1200.00073242,1.00000000
1672853400.08563399,-81.92098419,234.90536303,0.00029845,0.00000183,-2.76819534,-0.00095120,0.00033167,-0.00003453,-0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000012,0.00000000,1200.00073242,1.00000000
1672853400.12563396,-81.92113728,234.90577539,0.00031020,-0.00043973,-2.76818356,-0.00142681,0.00032882,-0.00002867,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000002,0.00000000,1200.00073242,1.00000000
1672853400.16563392,-81.92010544,234.90520372,0.00028625,0.00050260,-2.76817325,-0.00142681,0.00032634,-0.00003737,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000011,0.00000000,1200.00073242,1.00000000
1672853400.20563388,-81.92011943,234.90517533,0.00030337,0.00051275,-2.76816133,-0.00142681,0.00032465,-0.00002900,-0.02142124,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000008,0.00000000,1200.00073242,1.00000000
1672853400.24563384,-81.91947240,234.90444663,0.00030404,0.00141779,-2.76815350,-0.00228366,0.00031499,-0.00002736,0.00953119,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000015,0.00000000,1200.00073242,1.00000000
1672853400.28563380,-81.91897353,234.90477026,0.00029505,0.00126819,-2.76813631,-0.00190241,0.00031063,-0.00002962,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000008,0.00000000,1200.00073242,1.00000000
1672853400.32563376,-81.91814986,234.90522685,0.00027253,0.00112204,-2.76811153,-0.00190241,0.00030712,-0.00003745,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000004,0.00000000,1200.00073242,1.00000000
1672853400.36563373,-81.91859772,234.90662232,0.00029108,-0.00039729,-2.76809797,-0.00190241,0.00030455,-0.00002836,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000000,1200.00073242,1.00000000
1672853400.40563369,-81.91869794,234.90641980,0.00031690,-0.00022826,-2.76808769,-0.00190241,0.00030310,-0.00001651,0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000003,0.00000000,1200.00073242,1.00000000
1672853400.44563365,-81.91875514,234.90630517,0.00033308,-0.00013409,-2.76807641,-0.00142681,0.00030262,-0.00000899,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002,0.00000000,1200.00073242,1.00000000
1672853400.48563361,-81.91932256,234.90553720,0.00037242,0.00037839,-2.76806764,-0.00142681,0.00030281,0.00000779,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000001,0.00000000,1200.00073242,1.00000000
1672853400.52563357,-81.91889587,234.90599320,0.00034739,0.00009925,-2.76805155,-0.00142681,0.00030334,-0.00000200,-0.00238200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1200.00073242,1.00000000
1672853400.56563354,-81.91876595,234.90694392,0.00033298,-0.00075361,-2.76803664,-0.00152209,0.00030360,-0.00000745,-0.00069981,0.00000000,0.00000000,0.00000000,0.00000000,0.00000003,0.00000000,1200.00073242,1.00000000
1672853400.60563350,-81.91846966,234.90693360,0.00033076,-0.00060841,-2.76802487,-0.00155008,0.00030314,-0.00000781,0.00308181,0.00000000,0.00000000,0.00000000,0.00000000,0.00000003,0.00000000,1200.00073242,1.00000000
1672853400.64563346,-81.91832883,234.90692334,0.00033703,-0.00052740,-2.76801386,-0.00142681,0.00030139,-0.00000480,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002,0.00000000,1200.00073242,1.00000000
1672853400.68563342,-81.91896750,234.90684238,0.00037022,-0.00066744,-2.76800280,-0.00142681,0.00029818,0.00000911,0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,1200.00073242,1.00000000
1672853400.72563338,-81.91810383,234.90799426,0.00032008,-0.00141653,-2.76799794,-0.00095120,0.00029363,-0.00001140,-0.00942737,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,1200.00073242,1.00000000
1672853400.76563334,-81.91793158,234.90856568,0.00031808,-0.00185165,-2.76799284,-0.00132830,0.00028813,-0.00001209,-0.00246269,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,1200.00073242,1.00000000
1672853400.80563331,-81.91807574,234.90827281,0.00034405,-0.00156539,-2.76798001,-0.00142681,0.00028565,-0.00000128,-0.00236815,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1200.00073242,1.00000000
1672853400.84563327,-81.91816664,234.90811868,0.00035798,-0.00140308,-2.76797255,-0.00152153,0.00027686,0.00000451,0.02614826,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,1200.00073242,1.00000000
1672853400.88563323,-81.91838875,234.90803941,0.00037167,-0.00136374,-2.76796170,-0.00047560,0.00027212,0.00001016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,1200.00073242,1.00000000
1672853400.92563319,-81.91885214,234.90790858,0.00039254,-0.00136337,-2.76794716,-0.00047560,0.00026854,0.00001865,-0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1200.00073242,1.00000000
1672853400.96563315,-81.91848796,234.90747515,0.00038051,-0.00077559,-2.76794036,-0.00095120,0.00026612,0.00001353,0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000001,0.00000000,1200.00073242,1.00000000
1672853401.00563312,-81.91852960,234.90749166,0.00038076,-0.00078104,-2.76793037,-0.00047560,0.00026502,0.00001341,-0.00476539,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,1200.00073242,1.00000000
1672853401.04563308,-81.91838039,234.90701320,0.00038113,-0.00025096,-2.76791939,-0.00066622,0.00026496,0.00001357,-0.00712466,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000001,0.00000000,1200.00073242,1.00000000
1672853401.08563304,-81.91867644,234.90723101,0.00038730,-0.00055235,-2.76790730,-0.00095120,0.00026586,0.00001608,0.00235308,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,1200.00073242,1.00000000
1672853401.12563300,-81.91864356,234.90579556,0.00040515,0.00083824,-2.76789248,-0.00085708,0.00026793,0.00002321,-0.01424314,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000002,0.00000000,1200.00073242,1.00000000
1672853401.16563296,-81.91777279,234.90599311,0.00035781,0.00095546,-2.76787717,-0.00142681,0.00027040,0.00000342,0.02126803,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000001,0.00000000,1200.00073242,1.00000000
1672853401.20563293,-81.91798273,234.90638290,0.00036583,0.00047753,-2.76786493,-0.00057609,0.00027334,0.00000652,-0.00702672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,1200.00073242,1.00000000
1672853401.24563289,-81.91810860,234.90660509,0.00037058,0.00021132,-2.76785216,-0.00085715,0.00027659,0.00000822,0.00953880,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002,0.00000000,1200.00073242,1.00000000
1672853401.28563285,-81.91834769,234.90654997,0.00038178,0.00016895,-2.76784047,-0.00047560,0.00027990,0.00001240,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002,0.00000000,1200.00073242,1.00000000
1672853401.32563281,-81.92062164,234.90617321,0.00047386,-0.00033402,-2.76784066,-0.00047560,0.00028308,0.00004965,-0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000000,1200.00073242,1.00000000
1672853401.36563277,-81.92171338,234.90619647,0.00049516,-0.00075307,-2.76783028,-0.00095120,0.00028607,0.00005746,-0.00937766,0.00000000,0.00000000,0.00000000,0.00000000,0.00000008,0.00000000,1200.00073242,1.00000000
1672853401.40563273,-81.92239581,234.90608539,0.00048693,-0.00087222,-2.76781817,-0.00132631,0.00028951,0.00005288,0.00937766,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000000,1200.00073242,1.00000000
1672853401.44563270,-81.92241356,234.90602325,0.00046058,-0.00079354,-2.76780449,-0.00095120,0.00029257,0.00004100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000003,0.00000000,1200.00073242,1.00000000
1672853401.48563266,-81.92168988,234.90557465,0.00041984,-0.00008511,-2.76779264,-0.00095120,0.00029555,0.00002330,-0.00232392,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000007,0.00000000,1200.00073242,1.00000000
1672853401.52563262,-81.92239473,234.90604782,0.00042906,-0.00079017,-2.76777901,-0.00104416,0.00029854,0.00002630,-0.00956614,0.00000000,0.00000000,0.00000000,0.00000000,0.00000006,0.00000000,1200.00073242,1.00000000
1672853401.56563258,-81.92210288,234.90552641,0.00041138,-0.00016189,-2.76776511,-0.00142681,0.00030151,0.00001789,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000006,0.00000000,1200.00073242,1.00000000
1672853401.60563254,-81.92226717,234.90577836,0.00040461,-0.00045744,-2.76775122,-0.00142681,0.00030451,0.00001385,0.00464629,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1200.00073242,1.00000000
1672853401.64563251,-81.92237252,234.90593507,0.00039819,-0.00062748,-2.76773714,-0.00124096,0.00030755,0.00000984,-0.00464629,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,1200.00073242,1.00000000
1672853401.68563247,-81.92231266,234.90568709,0.00039228,-0.00035372,-2.76772280,-0.00142681,0.00031055,0.00000595,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000002,0.00000000,1200.00073242,1.00000000
1672853401.72563243,-81.92147661,234.90630431,0.00034483,-0.00061502,-2.76771023,-0.00142681,0.00031348,-0.00001466,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000003,0.00000000,1200.00073242,1.00000000
1672853401.76563239,-81.92128568,234.90545181,0.00035517,0.00028444,-2.76769489,-0.00142681,0.00031770,-0.00001092,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000014,0.00000000,1200.00073242,1.00000000
1672853401.80563235,-81.92130515,234.90543258,0.00035817,0.00028978,-2.76768135,-0.00142681,0.00031901,-0.00001001,0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000010,0.00000000,1200.00073242,1.00000000
1672853401.84563231,-81.92086005,234.90564981,0.00034117,0.00024534,-2.76766587,-0.00095120,0.00032155,-0.00001703,0.00244322,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000007,0.00000000,1200.00073242,1.00000000
1672853401.88563228,-81.92060812,234.90680060,0.00032060,-0.00073883,-2.76764828,-0.00085348,0.00032394,-0.00002531,-0.00244322,0.00000000,0.00000000,0.00000000,0.00000000,0.00000010,0.00000000,1200.00073242,1.00000000
1672853401.92563224,-81.92070301,234.90602536,0.00034419,-0.00002019,-2.76763397,-0.00095120,0.00032638,-0.00001513,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000005,0.00000000,1200.00073242,1.00000000
1672853401.96563220,-81.91967109,234.90699331,0.00028912,-0.00054843,-2.76761740,-0.00095120,0.00032882,-0.00003716,-0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,1200.00073242,1.00000000
1672853402.00563216,-81.91969158,234.90701026,0.00030694,-0.00055346,-2.76760282,-0.00142681,0.00033102,-0.00002886,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000005,0.00000000,1200.00073242,1.00000000
1672853402.04563212,-81.91955723,234.90676006,0.00031773,-0.00025097,-2.76758755,-0.00142681,0.00033477,-0.00002354,0.00951743,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000002,0.00000000,1200.00073242,1.00000000
1672853402.08563209,-81.91933370,234.90648040,0.00032384,0.00009849,-2.76757345,-0.00104611,0.00033636,-0.00001989,0.00237262,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000005,0.00000000,1200.00073242,1.00000000
1672853402.12563205,-81.91937342,234.90628955,0.00033739,0.00026354,-2.76755886,-0.00095120,0.00033863,-0.00001361,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000005,0.00000000,1200.00073242,1.00000000
1672853402.16563201,-81.91933133,234.90666293,0.00033583,-0.00007901,-2.76754326,-0.00095120,0.00034017,-0.00001362,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,1200.00073242,1.00000000
1672853402.20563197,-81.91935592,234.90665719,0.00034419,-0.00007780,-2.76752910,-0.00095120,0.00034100,-0.00000965,-0.00950595,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,1200.00073242,1.00000000
1672853402.24563193,-81.92010959,234.90791530,0.00035895,-0.00151654,-2.76751567,-0.00133144,0.00034100,-0.00000338,-0.00238410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000009,0.00000000,1200.00073242,1.00000000
1672853402.28563190,-81.92073813,234.90715524,0.00039329,-0.00098741,-2.76749777,-0.00142681,0.00034157,0.00001058,0.00955316,0.00000000,0.00000000,0.00000000,0.00000000,0.00000003,0.00000000,1200.00073242,1.00000000
1672853402.32563186,-81.92127799,234.90728899,0.00040520,-0.00127747,-2.76748362,-0.00104468,0.00033800,0.00001533,-0.00955316,0.00000000,0.00000000,0.00000000,0.00000000,0.00000003,0.00000000,1200.00073242,1.00000000
1672853402.36563182,-81.92213170,234.90672376,0.00043897,-0.00100959,-2.76746343,-0.00142681,0.00033488,0.00002864,0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002,0.00000000,1200.00073242,1.00000000
1672853402.40563178,-81.92242659,234.90692886,0.00042994,-0.00127899,-2.76745121,-0.00095120,0.00033062,0.00002430,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002,0.00000000,1200.00073242,1.00000000
