# time(s),x(m),y(m),vx(m/s),vy(m/s),phi(rad),delta(rad),omega(rad/s),ax(m/s^2),deltadelta(rad/s),wheel_fl(kmph),wheel_fr(kmph),wheel_rl(kmph),wheel_rr(kmph),roll(rad),throttle_ped_cmd(%),brake_ped_cmd(kPa)
1691761053.54518771,-270.15405847,75.82363112,13.08062709,-0.24785115,-0.10748427,-0.02776150,-0.11529405,-0.05361858,-0.00339604,48.46377854,47.79999924,47.66377792,47.90000153,0.00000000,9.93386269,0.00000000
1691761053.58518767,-269.60603273,75.76513546,13.08304387,-0.22993527,-0.11183013,-0.02789734,-0.11457335,-0.05481818,0.01104655,47.93630101,47.50890135,47.62740042,47.57260034,0.00000000,9.92672869,0.00000000
1691761053.62518764,-269.08120687,75.70545325,13.07158995,-0.23675051,-0.11544297,-0.02745548,-0.11187799,-0.05535924,-0.01104655,48.20000076,47.70000076,47.70914184,47.59999847,0.00000000,9.98223300,0.00000000
1691761053.66518760,-268.54974771,75.64342221,13.07116040,-0.21948698,-0.12088216,-0.02789734,-0.11457113,-0.05294756,0.01452987,48.00000000,47.79999924,47.59999847,47.70000076,0.00000000,10.00084576,0.00000000
1691761053.70518756,-268.02429182,75.57860894,13.07613085,-0.23199584,-0.12544800,-0.02731615,-0.11447323,-0.05202634,0.00000000,48.22444331,47.50000000,47.62977721,47.59999847,0.00000000,9.96322886,0.00000000
1691761053.74518752,-267.51304437,75.51491371,13.06879267,-0.23892860,-0.12891661,-0.02731615,-0.11151593,-0.05646844,0.00000000,48.14555394,47.70000076,47.50916629,47.70000076,0.00000000,9.97176716,0.00000000
1691761053.78518748,-266.99456540,75.44812038,13.06010128,-0.23593314,-0.13252799,-0.02731615,-0.10919232,-0.05696933,0.00000000,47.79999924,47.48170757,47.75447273,47.59085486,0.00000000,9.98680994,0.00000000
1691761053.82518744,-266.47277564,75.37795684,13.06011110,-0.22317334,-0.13578099,-0.02731615,-0.10607949,-0.05610686,0.00000000,48.40000153,47.79999924,47.70000076,47.53638996,0.00000000,10.00833210,0.00000000
1691761053.86518741,-265.95055536,75.30565519,13.06602796,-0.23028735,-0.13987578,-0.02731615,-0.10561153,-0.05609490,0.00000000,47.93636461,47.29999924,47.49090784,47.59999847,0.00000000,10.01747685,0.00000000
1691761053.90518737,-265.42775199,75.23083834,13.05635072,-0.22589037,-0.14408192,-0.02731615,-0.10551076,-0.05853424,0.00000000,48.22724221,47.59999847,47.50000000,47.57275703,0.00000000,10.01424171,0.00000000
1691761053.94518733,-264.92608981,75.15705531,13.05804866,-0.23688514,-0.14868272,-0.02731615,-0.10643219,-0.05574234,0.00000000,47.90000153,47.25451234,47.63635817,47.70000076,0.00000000,10.05461908,0.00000000
1691761053.98518729,-264.39819693,75.07812963,13.06774165,-0.24500803,-0.15198748,-0.02731615,-0.10384956,-0.05563121,-0.00332944,48.15448827,47.62724459,47.56362108,47.52724369,0.00000000,10.09543578,0.00000000
1691761054.02518725,-263.87699833,74.99699243,13.05211008,-0.24407281,-0.15613268,-0.02744933,-0.10380699,-0.05984051,0.00332944,48.04536601,47.70000076,47.50902524,47.36365936,0.00000000,10.09314590,0.00000000
